genre_id,genre_name,description,parent_genre_id,popularity_rank,avg_box_office_millions,number_of_films,earliest_example,primary_audience,typical_budget_range,typical_content_rating,common_themes,common_plot_elements,popular_subgenres,related_genres,peak_decade
GEN-320,Animation,Stories told through animated sequences instead of live action,NULL,13,132.1,5250,1906,Family,$40M-$175M,G|PG,Imagination|Growth|Wonder,Visual storytelling|Stylized worlds|Voice acting,Computer|Stop Motion|Traditional,Family|Fantasy,2000s
GEN-321,Cyberpunk,Stories set in dystopian futures with advanced technology and societal breakdown,GEN-314,27,96.5,275,1982,Adults,$30M-$150M,R,Technology|Society|Identity,Virtual reality|Corporate control|Urban decay,Neo-noir|Tech noir|Biopunk,Sci-Fi|Thriller,1980s
GEN-322,Action Sci-Fi,Fast-paced science fiction with emphasis on physical action and combat,GEN-304,17,165.3,925,1927,General audience,$60M-$200M,PG-13|R,Technology|Conflict|Survival,Future weapons|Combat|Chases,Space|Dystopian|Superhuman,Action|Sci-Fi,2000s
GEN-323,Crime Drama,Character-driven stories set against a backdrop of criminal activity,GEN-302,16,68.7,2350,1912,Adults,$8M-$60M,R,Morality|Consequence|Choice,Character development|Criminal world|Ethical dilemmas,Gangster|Prison|Legal,Drama|Crime,1970s
GEN-324,Urban Crime,Crime stories set in contemporary city environments,GEN-302,25,54.3,1150,1931,Adults,$5M-$40M,R,City life|Survival|Inequality,Street crime|Neighborhoods|Police,Gang|Drug|Poverty,Crime|Drama,1990s
GEN-325,Foreign Drama,Drama films from non-English speaking countries,GEN-301,28,31.5,12500,1895,Adults,$1M-$20M,Various,Cultural identity|Universal emotions|Society,Language differences|Cultural contexts|International settings,Art House|Festival|Social,Drama|International,2010s
GEN-326,Sci-Fi Horror,Stories combining scientific concepts with horror elements,GEN-307,22,87.5,550,1910,Adults,$15M-$80M,R,Unknown|Technology|Fear,Monsters|Isolation|Scientific experiments,Alien|Body Horror|Apocalyptic,Sci-Fi|Horror,1980s
GEN-327,Social Horror,Horror stories that use genre elements to explore social issues,GEN-307,31,72.4,175,1968,Adults,$5M-$30M,R,Society|Prejudice|Fear,Metaphorical monsters|Social commentary|Subtext,Racial|Class|Gender,Horror|Drama,2010s
GEN-328,Comedy Drama,Stories blending humorous and serious elements,GEN-301,20,88.3,3750,1913,Adults,$10M-$50M,PG-13|R,Life balance|Growth|Relationships,Humor amid serious themes|Character growth|Emotional range,Dramedy|Coming-of-age|Dark comedy,Comedy|Drama,1990s
GEN-329,Science Fiction,Stories based on imagined future scientific or technological advances,NULL,12,122.5,4500,1902,General audience,$30M-$180M,PG-13,Technology|Society|Humanity,Future settings|Scientific concepts|Speculation,Space|Dystopian|Time Travel,Fantasy|Thriller,1980s
GEN-330,Musical,Stories where songs performed by characters are integrated into the narrative,NULL,21,108.7,1250,1927,General audience,$30M-$100M,PG|PG-13,Expression|Passion|Performance,Song numbers|Choreography|Emotional revelation,Broadway|Contemporary|Jukebox,Romance|Drama,1960s
GEN-331,Family,Stories suitable for and appealing to all age groups,NULL,26,115.3,4250,1903,Family,$25M-$150M,G|PG,Growth|Values|Together,Life lessons|Wholesome humor|Happy endings,Children's|Coming-of-age|Holiday,Comedy|Adventure,1990s
GEN-332,Western,Stories set in the American Old West during the frontier era,NULL,29,75.4,2250,1903,Adults,$15M-$100M,PG-13|R,Justice|Frontier|Independence,Gunfights|Open landscapes|Moral codes,Spaghetti|Revisionist|Contemporary,Adventure|Action,1950s
GEN-333,Revisionist Western,Westerns that challenge or subvert traditional genre conventions,GEN-332,37,68.7,325,1967,Adults,$20M-$80M,R,Morality|History|Myth,Genre deconstruction|Moral ambiguity|Historical revision,Anti-Western|Neo-Western|Acid Western,Western|Drama,2010s
GEN-334,LGBTQ+,Stories focusing on LGBTQ+ characters and experiences,NULL,33,42.3,1450,1919,Adults,$1M-$25M,R,Identity|Acceptance|Love,Coming out|Relationships|Social challenges,Gay|Lesbian|Trans,Drama|Romance,2010s
GEN-335,Coming-of-Age,Stories about the transition from youth to adulthood,GEN-301,30,58.7,3250,1917,Young adults,$5M-$30M,PG-13|R,Growth|Identity|Independence,First experiences|Self-discovery|Transition,Teen|College|Summer,Drama|Comedy,1980s
GEN-336,Children's,Stories specifically targeted at children,GEN-331,32,112.5,2750,1908,Children,$30M-$150M,G|PG,Imagination|Friendship|Growing up,Simplified morals|Colorful characters|Accessible themes,Animated|Live Action|Fantasy,Family|Adventure,1990s
GEN-337,Space Drama,Character-driven stories set in space environments,GEN-301,35,145.8,175,1968,Adults,$80M-$200M,PG-13,Isolation|Survival|Wonder,Space settings|Technical challenges|Earth connection,Astronaut|Colony|Exploration,Sci-Fi|Drama,2010s
GEN-338,Post-Apocalyptic,Stories set after a catastrophic global event,GEN-329,34,98.5,450,1954,Adults,$40M-$150M,R,Survival|Society|Rebuilding,Wasteland settings|Resource scarcity|New social orders,Dystopian|Zombie|Climate,Sci-Fi|Action,2010s
GEN-339,War,Stories centered on armed conflict and its effects,NULL,36,110.3,2250,1915,Adults,$30M-$200M,R,Conflict|Sacrifice|Humanity,Battle scenes|Military life|Moral dilemmas,World War|Modern|Historical,Drama|Action,1970s
GEN-340,Survival,Stories about individuals or groups struggling to survive dire circumstances,GEN-311,38,94.7,950,1913,Adults,$20M-$100M,PG-13|R,Resilience|Nature|Human spirit,Life-threatening situations|Limited resources|Primal instincts,Wilderness|Disaster|Isolation,Adventure|Drama,2010s
GEN-341,Technology Drama,Dramas exploring the impact of technology on human lives,GEN-301,40,85.3,450,1995,Adults,$15M-$60M,PG-13|R,Innovation|Connection|Ethics,Digital interfaces|Technological themes|Modern anxieties,Social Media|AI|Startup,Drama|Sci-Fi,2010s
GEN-342,Comic Book,Stories adapted from comic book source material,NULL,39,205.7,325,1978,General audience,$80M-$250M,PG-13,Adaptation|Visuals|Mythos,Comic aesthetics|Character adaptation|Universe building,Superhero|Indie|Manga,Action|Fantasy,2010s
