person_id,full_name,birth_date,nationality,gender,primary_profession,secondary_profession,active_years_start,active_years_end,total_directed,total_acted,total_produced,total_written,awards_won,award_nominations,debut_film_id,official_website,social_media_handle,height_cm,is_deceased
PER-1028,Denis Villeneuve,1967-10-03,Canadian,Male,Director,Screenwriter,1988,NULL,10,0,5,5,34,162,MOV-2052,NULL,NULL,186,FALSE
PER-1029,Lupita Nyong'o,1983-03-01,Kenyan-Mexican,Female,Actress,Producer,2008,NULL,0,23,2,0,47,85,MOV-2053,NULL,@lupitanyongo,165,FALSE
PER-1030,Guillermo del Toro,1964-10-09,Mexican,Male,Director,Screenwriter,1985,NULL,11,3,26,18,78,184,MOV-2054,NULL,@realgdt,178,FALSE
PER-1031,Robert De Niro,1943-08-17,American,Male,Actor,Producer,1963,NULL,2,112,43,0,68,162,MOV-2055,NULL,NULL,177,FALSE
PER-1032,Ava DuVernay,1972-08-24,American,Female,Director,Producer,2008,NULL,6,0,18,8,41,94,MOV-2056,NULL,@ava,168,FALSE
PER-1033,Gary Oldman,1958-03-21,British,Male,Actor,Director,1982,NULL,1,87,3,3,73,176,MOV-2057,NULL,NULL,174,FALSE
PER-1034,Damien Chazelle,1985-01-19,American,Male,Director,Screenwriter,2009,NULL,5,0,6,6,34,115,MOV-2058,NULL,NULL,175,FALSE
PER-1035,Jennifer Lawrence,1990-08-15,American,Female,Actress,Producer,2006,NULL,0,32,5,0,121,275,MOV-2059,NULL,NULL,175,FALSE
PER-1036,Spike Lee,1957-03-20,American,Male,Director,Screenwriter,1977,NULL,34,14,47,25,63,196,MOV-2060,NULL,@officialspikelee,168,FALSE
PER-1037,Meryl Streep,1949-06-22,American,Female,Actress,NULL,1977,NULL,0,74,0,0,157,356,MOV-2061,NULL,NULL,168,FALSE
PER-1038,David Fincher,1962-08-28,American,Male,Director,Producer,1980,NULL,11,0,29,0,34,157,MOV-2062,NULL,NULL,184,FALSE
PER-1039,Chadwick Boseman,1976-11-29,American,Male,Actor,Producer,2003,2020,0,30,3,0,41,59,MOV-2063,NULL,NULL,183,TRUE
PER-1040,Chloé Zhao,1982-03-31,Chinese,Female,Director,Screenwriter,2010,NULL,4,0,4,4,58,119,MOV-2064,NULL,NULL,163,FALSE
PER-1041,Al Pacino,1940-04-25,American,Male,Actor,Producer,1969,NULL,2,59,7,0,45,169,MOV-2065,NULL,NULL,170,FALSE
PER-1042,Jane Campion,1954-04-30,New Zealander,Female,Director,Screenwriter,1982,NULL,8,0,9,10,57,135,MOV-2066,NULL,NULL,173,FALSE
PER-1043,Samuel L. Jackson,1948-12-21,American,Male,Actor,Producer,1972,NULL,0,156,7,0,27,84,MOV-2067,NULL,@samuelljackson,189,FALSE
PER-1044,Yorgos Lanthimos,1973-09-23,Greek,Male,Director,Screenwriter,1995,NULL,8,1,6,9,48,177,MOV-2068,NULL,NULL,175,FALSE
PER-1045,Brad Pitt,1963-12-18,American,Male,Actor,Producer,1987,NULL,0,84,59,0,54,168,MOV-2069,NULL,NULL,180,FALSE
PER-1046,Ang Lee,1954-10-23,Taiwanese,Male,Director,Producer,1982,NULL,14,0,9,1,63,147,MOV-2070,NULL,NULL,175,FALSE
PER-1047,Margot Robbie,1990-07-02,Australian,Female,Actress,Producer,2008,NULL,0,34,15,0,37,123,MOV-2071,NULL,@margotrobbie,168,FALSE
PER-1048,George Miller,1945-03-03,Australian,Male,Director,Screenwriter,1971,NULL,12,0,20,15,36,84,MOV-2072,NULL,NULL,179,FALSE
PER-1049,Natalie Portman,1981-06-09,Israeli-American,Female,Actress,Director,1994,NULL,2,49,5,1,63,164,MOV-2073,NULL,NULL,160,FALSE
PER-1050,Pete Docter,1968-10-09,American,Male,Director,Animator,1990,NULL,4,5,17,9,32,95,MOV-2074,NULL,NULL,193,FALSE
